attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,780.0,1290.71,1079.0,870.05,480.17,1313.0,1300.0,341.82,1255.31,560.63
2.0,625.4,1235.35,1150.5,781.75,522.45,1308.65,1300.0,1080.65,1196.0,841.75
4.0,608.22,1287.0,1020.5,781.56,447.28,1313.0,1287.0,1027.05,1261.0,867.75
6.0,590.26,1272.63,145.05,665.45,470.45,1177.2,1274.0,230.95,1220.56,761.6
8.0,528.95,1293.5,278.15,808.84,316.2,1274.0,1248.0,752.55,1189.5,798.45
10.0,238.9,1033.16,1085.5,530.0,509.45,1313.0,1274.0,704.45,1162.78,693.33
12.0,436.5,585.0,684.15,580.89,332.47,1280.5,1280.5,1144.0,1261.0,731.25
14.0,393.5,568.75,424.2,557.53,509.45,1293.5,1162.78,727.15,1144.0,628.35
16.0,393.5,346.7,565.5,626.8,576.58,1287.0,1163.5,966.95,1248.0,656.5
18.0,535.45,663.74,657.05,700.11,698.63,1245.63,1053.0,1129.32,1094.74,458.25
20.0,576.21,968.85,975.0,665.89,737.44,1141.85,936.0,824.3,1196.0,208.1
22.0,470.8,988.0,936.0,587.63,522.45,1027.0,767.0,589.44,1079.0,400.32
24.0,651.05,670.53,185.45,203.77,573.75,741.0,780.0,148.75,884.0,461.0
26.0,479.0,520.0,184.3,553.81,470.8,754.0,396.5,45.21,763.75,470.4
28.0,385.95,495.65,188.55,354.24,501.55,390.0,357.5,161.0,487.5,102.75
30.0,230.3,383.5,180.45,120.73,316.21,275.05,239.47,197.05,390.0,109.55
32.0,180.11,284.4,188.9,101.88,200.26,204.75,158.89,138.65,136.6,164.25
34.0,90.79,159.35,134.95,70.77,78.3,143.05,94.3,109.4,136.65,93.86
36.0,54.42,130.05,96.0,75.62,101.05,100.85,119.17,75.53,117.15,18.88
38.0,59.33,103.35,128.32,50.5,62.27,76.65,65.21,87.64,57.9,65.73
40.0,19.88,63.39,75.53,27.67,29.69,52.29,36.37,41.0,53.89


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,1300.0,1077.14,449.35,1163.16,1278.33,705.25,1300.0,829.82,521.31,1218.75
2.0,1293.5,1163.5,1055.1,1170.0,1280.5,549.3,1287.0,1106.05,581.75,1280.5
4.0,1228.17,1124.5,1267.5,1162.78,1285.56,695.5,1293.5,905.0,354.4,1300.0
6.0,1300.0,1231.58,1313.0,1170.0,1319.5,1075.75,1280.5,1300.0,459.83,1166.75
8.0,1293.5,1235.0,1293.5,1163.16,1319.5,1014.0,1235.0,1183.7,559.0,1300.0
10.0,1313.0,981.84,1319.5,1163.5,1313.0,892.15,1267.5,795.8,534.44,1278.33
12.0,1287.0,695.5,1222.35,1162.78,1245.26,510.25,1157.0,989.75,428.1,1287.0
14.0,1287.0,546.0,1293.5,1156.32,1274.0,373.8,1011.11,524.2,602.9,1235.35
16.0,1235.0,949.0,1300.0,1157.0,1231.58,456.05,1040.0,905.6,438.75,1280.5
18.0,1222.0,774.89,1267.5,1108.42,1085.63,407.68,988.0,809.58,834.74,1300.0
20.0,1081.05,125.35,1131.0,793.68,938.89,692.25,702.0,452.7,523.25,1241.5
22.0,780.0,93.05,1040.0,490.13,633.75,614.25,780.0,838.56,607.75,1019.84
24.0,661.95,397.63,784.35,780.0,660.85,292.7,676.0,444.45,718.25,761.2
26.0,530.83,533.0,653.95,215.19,477.75,253.6,364.0,485.79,773.55,606.67
28.0,357.5,354.95,533.0,299.88,325.0,179.55,325.0,292.85,399.85,444.75
30.0,243.75,375.45,307.2,156.18,156.84,110.65,198.42,164.85,224.16,168.0
32.0,122.68,172.3,178.8,35.94,126.74,237.3,144.44,144.7,221.7,37.75
34.0,85.95,122.1,81.8,110.54,94.8,133.3,84.55,143.4,149.5,107.29
36.0,62.5,120.25,84.6,30.38,82.32,102.7,56.11,107.16,122.0,83.0
38.0,84.22,74.76,60.21,55.33,39.91,55.85,33.0,66.5,99.3,46.27
40.0,39.25,61.56,39.74,30.11,23.0,41.65,33.0,26.38,45.21


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
