mode,times,per_lim,attn1,attn2,tx_streams,tx_mcs,tx_phy_rate,txpackets,txretries,txfail,per_link,per_phy,tx_bw,rx_streams,rx_mcs,rssi_0,rssi_1,rssi_2,rssi_3,evm_0,evm_1,evm_2,evm_3,rx_bw,bi_tx_streams,bi_tx_mcs,bi_tx_phy_rate,bi_txpackets,bi_txretries,bi_txfail,bi_per_link,bi_per_phy,bi_tx_bw,bi_rx_streams,bi_rx_mcs,bi_rssi_0,bi_rssi_1,bi_rssi_2,bi_rssi_3,bi_evm_0,bi_evm_1,bi_evm_2,bi_evm_3,bi_rx_bw,tot_tx_bw,tot_rx_bw
1,74,10,0,0,4,7,1300,6051,62,2,0.033036,1.01407,511,4,7,-57.5,-53.7,-52.8,-53.0,-24.3,-25.6,-28.3,-27.0,530,4,7,1300,6241,55,0,0,0.873432,527,4,7,-55.3,-55.4,-53.5,-54.2,-25.2,-25.1,-27.9,-26.6,478,1038.0,1008.0
1,81,10,0,0,4,7,1300,6053,104,0,0,1.68886,512,4,7,-57.6,-53.4,-52.6,-53.3,-23.8,-25.5,-28.4,-26.5,520,4,7,1300,6217,88,0,0,1.3955,524,4,7,-55.4,-55.6,-53.7,-54.4,-23.6,-23.6,-27.1,-26.1,516,1036.0,1036.0
1,91,10,0,0,4,7,1300,6884,164,0,0,2.32657,580,4,7,-57.8,-53.6,-52.7,-52.9,-22.3,-24.3,-27.8,-26.3,536,4,7,1300,5870,0,0,0,0,496,4,7,-55.6,-55.6,-53.8,-54.0,-23.9,-23.8,-27.4,-25.0,549,1076.0,1085.0
1,93,10,0,0,4,7,1300,6860,76,0,0,1.09557,578,4,7,-57.0,-53.4,-52.6,-52.6,-24.3,-25.9,-28.4,-25.3,576,4,7,1300,5976,1,0,0,0.016728,504,4,7,-55.7,-55.7,-53.9,-54.0,-21.2,-21.1,-25.4,-23.0,491,1082.0,1067.0
1,94,10,0,0,4,7,1300,6715,119,2,0.0297708,1.74104,566,4,7,-57.3,-53.7,-52.9,-53.0,-24.4,-25.5,-28.4,-25.1,547,4,7,1300,6061,7,0,0,0.11534,510,4,7,-55.7,-55.7,-53.8,-54.0,-21.2,-21.1,-25.4,-23.0,513,1076.0,1060.0
1,95,10,0,0,4,7,1300,6416,3,3,0.046729,0.046729,540,4,7,-57.1,-53.5,-52.7,-52.8,-24.4,-25.5,-28.4,-25.1,517,4,7,1300,6282,39,0,0,0.616893,530,4,7,-55.7,-55.7,-53.8,-54.0,-24.8,-24.6,-27.8,-26.0,531,1070.0,1048.0
1,96,10,0,0,4,7,1300,6135,94,6,0.097688,1.50883,517,4,7,-57.1,-53.5,-52.7,-52.8,-24.4,-25.5,-28.4,-25.1,517,4,7,1300,6245,72,0,0,1.1396,527,4,7,-55.6,-55.7,-53.8,-53.9,-24.8,-24.6,-27.8,-26.0,513,1044.0,1030.0
1,97,10,0,0,4,7,1300,6313,101,1,0.0158353,1.57443,533,4,7,-57.1,-53.6,-52.8,-52.9,-25.3,-25.6,-26.3,-24.8,540,4,7,1300,5950,7,0,0,0.117489,501,4,7,-55.6,-55.7,-53.8,-53.9,-22.9,-23.4,-26.8,-24.1,504,1034.0,1044.0
1,98,10,0,0,4,7,1300,6549,57,1,0.0152648,0.862721,551,4,8,-57.1,-53.6,-52.8,-52.9,-23.8,-24.6,-28.1,-26.7,521,4,7,1300,6364,23,0,0,0.36005,537,4,7,-55.8,-55.7,-53.9,-54.1,-22.9,-23.4,-26.8,-24.1,541,1088.0,1062.0
1,99,10,0,0,4,7,1300,6160,89,2,0.0324517,1.424,520,4,7,-57.4,-53.6,-52.9,-53.0,-23.8,-24.6,-28.1,-26.7,517,4,7,1300,6419,29,0,0,0.449682,540,4,7,-55.8,-55.7,-53.9,-54.1,-22.8,-22.6,-26.9,-24.5,530,1060.0,1047.0
1,100,10,0,0,4,7,1300,6232,107,0,0,1.6877,525,4,7,-57.4,-53.6,-52.9,-53.0,-22.9,-24.4,-28.2,-27.3,542,4,7,1300,5801,53,0,0,0.905209,490,4,7,-55.8,-55.8,-53.5,-54.2,-22.8,-22.6,-26.9,-24.5,490,1015.0,1032.0
1,101,10,0,0,4,7,1300,6988,141,1,0.0143062,1.97756,589,4,7,-57.4,-53.6,-52.8,-53.0,-22.9,-24.4,-28.2,-27.3,571,4,7,1300,5640,23,0,0,0.406073,476,4,7,-55.8,-55.8,-53.5,-54.2,-24.4,-24.3,-28.1,-26.6,466,1065.0,1037.0
1,102,10,0,0,4,7,1300,6988,141,1,0.0143062,1.97756,589,4,7,-57.4,-53.6,-52.8,-53.0,-19.6,-20.6,-24.9,-23.4,524,4,7,1300,6221,17,0,0,0.27248,526,4,7,-55.8,-55.7,-53.4,-54.0,-24.4,-24.3,-28.1,-26.6,528,1115.0,1052.0
1,103,10,0,0,4,7,1300,6630,50,1,0.0150784,0.748391,559,4,7,-57.4,-53.6,-52.9,-53.0,-19.6,-20.6,-24.9,-23.4,535,4,7,1300,6180,23,0,0,0.370729,521,4,7,-55.6,-55.6,-53.3,-53.9,-24.0,-23.9,-27.8,-25.2,482,1080.0,1017.0
1,104,10,0,0,4,7,1300,6927,111,0,0,1.57693,584,4,7,-57.4,-53.6,-52.9,-53.0,-23.9,-25.3,-28.3,-27.4,582,4,7,1300,5618,9,0,0,0.159915,473,4,7,-55.6,-55.6,-53.3,-53.9,-24.0,-23.9,-27.8,-25.2,482,1057.0,1064.0
1,105,10,0,0,4,7,1300,6898,107,0,0,1.52726,582,4,7,-57.4,-53.6,-52.9,-53.0,-23.9,-25.3,-28.3,-27.4,570,4,7,1300,5832,29,0,0,0.494712,492,4,7,-55.9,-55.9,-53.5,-54.2,-23.9,-23.9,-27.6,-24.9,488,1074.0,1058.0
1,106,10,0,0,4,7,1300,6778,126,0,0,1.82476,571,4,7,-57.4,-53.6,-52.9,-53.0,-24.6,-26.1,-28.2,-26.6,555,4,7,1300,6201,20,0,0,0.32144,521,4,7,-55.9,-55.9,-53.5,-54.2,-24.3,-24.3,-27.9,-26.2,531,1092.0,1086.0
